areaType,availability,location,size,society,totalSqft,bath,balcony,price,region
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Puncyya,1127,2.0,2.0,32.0,Bangalore South
Super built-up  Area,18-May,Rajaji Nagar,3 BHK,Pumesim,1621,3.0,1.0,124.0,Bangalore South
Super built-up  Area,Ready To Move,Banashankari 2 nd Stage,3 BHK,,1030,2.0,2.0,77.25,Bangalore South
Super built-up  Area,18-Aug,Whitefield,2 BHK,,1314,2.0,1.0,84.0,Bangalore East
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3.0,1.0,56.0,Bangalore South
Plot  Area,18-Mar,Banashankari Stage VI,4 Bedroom,,600,3.0,1.0,97.0,Bangalore South
Super built-up  Area,18-Aug,Hosakerehalli,3 BHK,Maunt M,1795,3.0,2.0,64.62,Bangalore South
Built-up  Area,Ready To Move,Gottigere,4 Bedroom,,3000,3.0,0.0,132.0,Bangalore South
Super built-up  Area,18-Dec,Sarjapur  Road,4 BHK,Klark L,4395,4.0,2.0,242.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,KBityo ,825,2.0,1.0,35.0,Bangalore South
Super built-up  Area,18-Dec,Yelahanka,4 BHK,Nileyap,4025,6.0,1.0,350.0,Bangalore North
Super built-up  Area,22-Jan,Vajarahalli,3 BHK,,1254,2.0,1.0,70.0,Bangalore South
Built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,,2040,3.0,2.0,114.0,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4.0,3.0,337.0,Bangalore South
Super built-up  Area,19-Dec,Horamavu Agara,3 BHK,Prhar G,1623,3.0,1.0,89.0,Bangalore North
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Elodsre,1200,2.0,2.0,40.5,Bangalore South
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Sklls C,1613,3.0,3.0,72.0,Bangalore South
Super built-up  Area,18-Apr,Kudlu Gate,2 BHK,SunetSo,940,2.0,1.0,69.57,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Trurea ,1181,2.0,1.0,65.0,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,3.0,2.0,275.0,Bangalore South
Built-up  Area,Ready To Move,Marathahalli,1 BHK,RookaJh,1100,2.0,,75.0,Bangalore East
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,1.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Banashankari Stage II,5 BHK,,2800,3.0,2.0,425.0,Bangalore South
Super built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,,1500,3.0,2.0,56.0,Bangalore North
Plot  Area,Ready To Move,KR Puram,6 Bedroom,Coronte,1200,6.0,3.0,132.0,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,3 BHK,PaantPl,1530,3.0,3.0,73.0,Bangalore East
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,AlEcone,1864,3.0,3.0,115.0,Bangalore East
Built-up  Area,Ready To Move,Sarjapur,3 BHK,Coa It ,1575,3.0,3.0,55.0,Bangalore South
Plot  Area,18-Dec,Attibele,3 Bedroom,AkArkti,1200,3.0,,105.0,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Deade A,945,2.0,1.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3.0,2.0,100.0,Bangalore South
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1220,3.0,1.0,35.25,Bangalore South
Built-up  Area,Ready To Move,Kengeri,1 BHK,KHnumla,600,1.0,1.0,35.0,Bangalore South
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1160,2.0,2.0,39.0,Bangalore East
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,AlEcone,1950,2.0,,89.5,Bangalore East
Super built-up  Area,Ready To Move,Kalyan nagar,3 BHK,,2285,4.0,1.0,165.0,Bangalore East
Super built-up  Area,Ready To Move,Nanjappa Layout Vidyaranyapura,5 BHK,,1200,4.0,2.0,115.0,Bangalore North
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2.0,1.0,58.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1026,2.0,1.0,60.55,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1460,3.0,3.0,76.0,Bangalore South
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1525,2.0,2.0,91.48,Bangalore South
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,85.0,Bangalore South
Super built-up  Area,18-Aug,Ananth Nagar,2 BHK,,1000,2.0,3.0,25.0,Bangalore South
Super built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1642,2.0,1.0,115.0,Bangalore South
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,44.0,Bangalore South
Super built-up  Area,18-Feb,Panathur,2 BHK,,1210,2.0,1.0,77.93,Bangalore East
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,DLhtsnd,1225,2.0,0.0,68.0,Bangalore South
Plot  Area,Ready To Move,A Narayanapura,1 Bedroom,,1500,2.0,0.0,85.0,Bangalore North
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Maisehi,1361,2.0,2.0,79.0,Bangalore East
Plot  Area,Ready To Move,Frazer Town,5 Bedroom,,2801.25,4.0,1.0,462.0,Bangalore North
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,870,2.0,1.0,27.0,Bangalore North
Super built-up  Area,18-May,Rajaji Nagar,2 BHK,Pumesim,1222,2.0,2.0,98.0,Bangalore South
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1846,3.0,2.0,135.0,Bangalore South
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1167,2.0,2.0,64.08,Bangalore North
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,902,2.0,2.0,25.0,Bangalore South
Super built-up  Area,Ready To Move,Kannamangala,4 BHK,,2422,4.0,3.0,135.0,Bangalore East
Built-up  Area,Ready To Move,Kundalahalli,2 BHK,,1260,2.0,0.0,58.0,Bangalore East
Built-up  Area,Ready To Move,Banashankari Stage II,3 Bedroom,,3000,3.0,2.0,450.0,Bangalore South
Plot  Area,Ready To Move,Konanakunte,9 Bedroom,,1590,6.0,1.0,150.0,Bangalore South
Plot  Area,Ready To Move,Jalahalli,1 Bedroom,,600,1.0,0.0,37.0,Bangalore North
Built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1298,2.0,1.0,59.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1710,3.0,2.0,135.0,Bangalore East
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Srnumum,1000,2.0,1.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Reitice,3350,3.0,3.0,150.0,Bangalore South
Super built-up  Area,Ready To Move,Jalahalli,1 BHK,Vaniai ,615,1.0,1.0,46.0,Bangalore North
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1350,2.0,1.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Soiniy ,1718,3.0,2.0,130.0,Bangalore North
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,2.0,112.0,Bangalore South
Plot  Area,Ready To Move,Hulimavu,2 Bedroom,,1500,2.0,0.0,90.0,Bangalore South
Super built-up  Area,18-May,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,72.0,Bangalore South
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1179,2.0,1.0,51.0,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255 - 1375,2.0,0.0,60.48,Bangalore South
Super built-up  Area,18-Mar,Phase 1 Kammasandra,2 BHK,,1105,2.0,2.0,28.18,Bangalore South
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1800,3.0,2.0,175.0,Bangalore South
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,ShshaSa,1010,2.0,1.0,52.0,Bangalore North
Super built-up  Area,18-Jan,Electronic City,1 BHK,Prarkun,630,1.0,1.0,46.0,Bangalore South
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,1025,2.0,1.0,60.0,Bangalore North
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1195,2.0,2.0,59.0,Bangalore North
Super built-up  Area,18-Feb,Whitefield,2 BHK,Alsta F,1012,2.0,1.0,58.0,Bangalore East
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1884,4.0,2.0,118.0,Bangalore North
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,Soe 2as,1090,2.0,1.0,37.0,Bangalore South
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,3.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1500,3.0,1.0,68.0,Bangalore South
Built-up  Area,18-Dec,Electronic City,3 BHK,,1400,2.0,1.0,40.45,Bangalore South
Super built-up  Area,19-Dec,Electronic City Phase II,3 BHK,DSineSt,1625,2.0,2.0,48.75,Bangalore South
Built-up  Area,18-Dec,Electronic City,2 BHK,,1065,2.0,1.0,30.76,Bangalore South
Plot  Area,Ready To Move,Kumaraswami Layout,6 Bedroom,,510,4.0,1.0,70.0,Bangalore South
Super built-up  Area,Ready To Move,HMT Layout,3 BHK,,1385,3.0,3.0,90.0,Bangalore North
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,JKmesHo,1040,2.0,1.0,50.0,Bangalore East
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,1817,3.0,2.0,110.0,Bangalore South
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,ARomee ,980,2.0,2.0,35.0,Bangalore South
Built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,SVthaho,1006,2.0,0.0,44.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098,2.0,1.0,71.0,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1019,2.0,1.0,62.0,Bangalore South
Super built-up  Area,18-May,Whitefield,2 BHK,,1150,2.0,2.0,40.21,Bangalore East
Super built-up  Area,Ready To Move,Yeshwanthpur Industrial Suburb,2 BHK,Essic C,1415,2.0,2.0,120.0,Bangalore North
Built-up  Area,21-Dec,"Electronic city Phase 1, ",3 BHK,,1750,3.0,2.0,58.0,Bangalore South
Super built-up  Area,18-Dec,Raja Rajeshwari Nagara,3 BHK,,1537,3.0,2.0,81.0,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,55.6,Bangalore South
Super built-up  Area,Ready To Move,Domlur,2 BHK,IBictnd,1246,2.0,1.0,95.0,Bangalore East
Built-up  Area,Ready To Move,Yelahanka,3 BHK,PrrloMo,1890,4.0,2.0,85.0,Bangalore North
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,MJtroty,972,2.0,1.0,40.0,Bangalore South
Plot  Area,Ready To Move,5th Block Jayanagar,4 Bedroom,,10624,4.0,2.0,2340.0,Bangalore South
Super built-up  Area,18-Aug,Electronic City,1 BHK,Prarkun,630,1.0,1.0,33.7,Bangalore South
Plot  Area,18-Mar,Kothanur,8 Bedroom,,1050,5.0,0.0,80.0,Bangalore North
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1900,4.0,2.0,185.0,Bangalore East
Super built-up  Area,21-May,Kanakpura Road,3 BHK,GolusLi,1938,3.0,3.0,92.69,Bangalore South
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1711,3.0,2.0,125.0,Bangalore South
Super built-up  Area,18-Jul,CV Raman Nagar,2 BHK,Pu270a ,1392,2.0,1.0,95.0,Bangalore East
Super built-up  Area,18-Mar,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,77.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Saitya ,3418,3.0,,235.0,Bangalore South
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,1.0,80.0,Bangalore South
Super built-up  Area,19-Dec,Sarjapur  Road,1 BHK,AsastDe,691,1.0,1.0,31.1,Bangalore South
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1285,2.0,1.0,78.0,Bangalore South
Built-up  Area,Ready To Move,Hebbal,3 BHK,Thuse F,1590,3.0,2.0,96.0,Bangalore North
Built-up  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,,2800,5.0,1.0,220.0,Bangalore North
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1060,2.0,1.0,48.66,Bangalore East
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1520,2.0,3.0,81.0,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1430 - 1630,,,70.99,Bangalore South
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,,1580,3.0,2.0,75.0,Bangalore East
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303,2.0,2.0,55.78,Bangalore South
Built-up  Area,Ready To Move,Whitefield,3 BHK,Sonviik,1495,2.0,,70.0,Bangalore East
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1835,3.0,1.0,108.0,Bangalore North
Built-up  Area,Ready To Move,Nagawara Junction,2 BHK,,1080,2.0,2.0,38.0,Bangalore North
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,29.61,Bangalore South
Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,67.48,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ascid P,994,2.0,2.0,45.0,Bangalore South
Built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1156,2.0,2.0,52.0,Bangalore East
Built-up  Area,Ready To Move,Kundalahalli,4 Bedroom,Roima A,3092,4.0,3.0,230.0,Bangalore East
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1930,4.0,2.0,122.0,Bangalore North
Built-up  Area,Ready To Move,Kumaraswami Layout,3 BHK,,1310,2.0,1.0,70.0,Bangalore South
Super built-up  Area,19-Dec,Jalahalli,1 BHK,Vaniai ,610 - 615,1.0,0.0,27.565,Bangalore North
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Prdhue ,1322,2.0,3.0,70.0,Bangalore South
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1160,2.0,2.0,57.0,Bangalore North
Built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1720,3.0,3.0,150.0,Bangalore South
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1090,2.0,1.0,47.42,Bangalore South
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,2000,2.0,0.0,75.0,Bangalore East
Built-up  Area,Ready To Move,Vishveshwarya Layout,6 Bedroom,,4000,6.0,0.0,230.0,Bangalore South
Built-up  Area,18-Jun,Sarjapur  Road,4 Bedroom,Marthur,3913,5.0,0.0,176.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3520,5.0,2.0,320.0,Bangalore North
Built-up  Area,18-Apr,Yelahanka,3 BHK,Hotat H,1847,3.0,3.0,92.0,Bangalore North
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Srncya ,1515,2.0,1.0,76.0,Bangalore South
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,8 Bedroom,,3450,7.0,2.0,225.0,Bangalore South
Plot  Area,Ready To Move,Yelahanka,5 Bedroom,,2500,3.0,1.0,120.0,Bangalore North
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Srntssh,1130,2.0,2.0,55.0,Bangalore South
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Goner C,1049,2.0,1.0,51.0,Bangalore South
Super built-up  Area,18-Dec,Varthur Road,2 BHK,,850,2.0,1.0,25.4,Bangalore South
Plot  Area,Ready To Move,Govindaraja Nagar Ward,5 Bedroom,,2600,5.0,3.0,370.0,Bangalore South
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PrncyRe,800,2.0,1.0,40.0,Bangalore South
Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1190,2.0,2.0,30.35,Bangalore South
Super built-up  Area,18-May,Magadi Road,3 BHK,Vrenty ,1318,2.0,1.0,68.0,Bangalore South
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1698,2.0,1.0,105.0,Bangalore South
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,,2030,2.0,1.0,182.0,Bangalore South
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,DSOakil,1276,2.0,1.0,31.9,Bangalore South
Super built-up  Area,Ready To Move,Shikaripalya,3 BHK,Maenara,1555,2.0,1.0,67.0,Bangalore South
Super built-up  Area,17-May,Sarjapur  Road,3 BHK,Ahriaup,1881,3.0,2.0,145.0,Bangalore South
Super built-up  Area,18-Jul,Yelahanka,3 BHK,Miitat ,1890,3.0,2.0,109.0,Bangalore North
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,SheldGr,935,2.0,1.0,32.0,Bangalore North
Super built-up  Area,Ready To Move,Singasandra,3 BHK,,1510,3.0,2.0,75.0,Bangalore South
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1120,2.0,1.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,930,2.0,1.0,25.99,Bangalore South
Built-up  Area,Ready To Move,Bellandur,3 BHK,DSsorin,1350,2.0,1.0,63.0,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,3.0,2.0,330.0,Bangalore South
Super built-up  Area,Ready To Move,Attibele,2 BHK,DSvar S,996,2.0,1.0,24.9,Bangalore South
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1715,3.0,3.0,112.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,1072,2.0,2.0,45.0,Bangalore North
Super built-up  Area,Ready To Move,Panathur,2 BHK,SVnamnd,1230,2.0,1.0,80.0,Bangalore East
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,,1600,2.0,1.0,65.0,Bangalore East
Super built-up  Area,18-Dec,Thanisandra,3 BHK,Bhe 2ko,1411,3.0,1.0,93.25,Bangalore North
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,,2404,3.0,2.0,138.0,Bangalore North
Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,,1200,3.0,2.0,226.0,Bangalore South
Built-up  Area,Ready To Move,Doddathoguru,3 BHK,Srtasno,1208,3.0,1.0,45.0,Bangalore South
Plot  Area,Ready To Move,Yeshwanthpur,5 Bedroom,,1700,5.0,2.0,300.0,Bangalore North
Super built-up  Area,18-Dec,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,69.84,Bangalore South
Super built-up  Area,18-Sep,Hebbal,2 BHK,Arcia S,1162,2.0,1.0,69.0,Bangalore North
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1262,2.0,1.0,65.0,Bangalore North
Super built-up  Area,18-Apr,Konanakunte Cross,2 BHK,,1050,2.0,2.0,35.0,Bangalore South
Built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Sryalan,1160,2.0,1.0,33.51,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1340,2.0,2.0,41.0,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4.0,2.0,182.0,Bangalore South
Super built-up  Area,18-Jul,Hosa Road,2 BHK,SJerse ,1170,2.0,2.0,65.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mailsaf,980,2.0,1.0,25.0,Bangalore South
Super built-up  Area,20-Dec,Banashankari Stage VI,3 BHK,Brens7 ,1423,2.0,1.0,71.73,Bangalore South
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Jaisemi,1106,2.0,3.0,40.0,Bangalore East
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1400,2.0,2.0,40.45,Bangalore South
Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,2100,3.0,2.0,145.0,Bangalore East
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,16.5,Bangalore South
Built-up  Area,Ready To Move,Kengeri,2 BHK,,633,1.0,1.0,18.0,Bangalore South
Super built-up  Area,Ready To Move,ITPL,2 BHK,Samukja,854 - 960,2.0,0.0,55.43,Bangalore East
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,2047,3.0,2.0,67.55,Bangalore North
Built-up  Area,Ready To Move,"Haralur Road, ",4 BHK,,2597,4.0,3.0,189.0,Bangalore South
Built-up  Area,Ready To Move,Bellandur,2 BHK,,1211,2.0,1.0,63.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1904,3.0,2.0,129.0,Bangalore North
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1164,2.0,2.0,64.08,Bangalore North
Built-up  Area,Ready To Move,Green View Layout,2 BHK,DSeme S,1150,2.0,1.0,42.0,Bangalore South
Super built-up  Area,Ready To Move,Panathur,2 BHK,,1125,2.0,2.0,45.0,Bangalore East
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,1.0,76.0,Bangalore South
Super built-up  Area,18-May,Ananth Nagar,2 BHK,,1074,2.0,2.0,26.85,Bangalore South
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,NDfelip,1222,2.0,3.0,48.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1981,3.0,1.0,134.0,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,970,2.0,1.0,36.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,920,2.0,2.0,33.0,Bangalore South
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1520,3.0,3.0,85.0,Bangalore North
Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,1755,3.0,2.0,115.0,Bangalore South
Carpet  Area,18-Jul,8th Phase JP Nagar,1 BHK,Maian M,500,1.0,1.0,33.0,Bangalore South
Super built-up  Area,Ready To Move,Harlur,4 BHK,Shodsir,2650 - 2990,4.0,0.0,153.5,Bangalore South
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1167,2.0,2.0,37.5,Bangalore South
Super built-up  Area,Ready To Move,Domlur,2 BHK,IBictnd,1276,2.0,2.0,80.0,Bangalore East
Built-up  Area,Ready To Move,Thanisandra,2 BHK,Tenetee,1234,2.0,2.0,51.0,Bangalore North
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1180,2.0,1.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,ISRO Layout,3 BHK,Oaines ,1370,2.0,2.0,87.0,Bangalore South
Built-up  Area,Ready To Move,Electronic City,3 Bedroom,,1400,3.0,1.0,90.0,Bangalore South
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,1500,6.0,3.0,155.0,Bangalore East
Super built-up  Area,18-Jul,Ramagondanahalli,2 BHK,ViistLa,1251,2.0,1.0,46.0,Bangalore South
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1677,3.0,,92.13,Bangalore North
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,67.38,Bangalore South
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1090,2.0,1.0,31.48,Bangalore South
Super built-up  Area,18-Jul,Rajaji Nagar,5 BHK,Phaku K,7514,7.0,,1500.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ahriaup,1881,3.0,2.0,145.0,Bangalore South
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2.0,2.0,52.0,Bangalore East
Built-up  Area,Ready To Move,Sarjapur,3 Bedroom,,2690,3.0,2.0,295.0,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1200,2.0,2.0,42.0,Bangalore South
Built-up  Area,Ready To Move,Bommasandra Industrial Area,3 BHK,,1491,3.0,3.0,40.5,Bangalore South
Super built-up  Area,19-Jul,Ramamurthy Nagar,2 BHK,Vaharvi,1050,2.0,1.0,51.66,Bangalore East
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,,1134,2.0,2.0,55.0,Bangalore North
Built-up  Area,Ready To Move,Hebbal,2 BHK,,1100,2.0,1.0,60.0,Bangalore North
Plot  Area,Ready To Move,Magadi Road,4 Bedroom,,800,4.0,,60.0,Bangalore South
Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,,1200,4.0,3.0,240.0,Bangalore South
Super built-up  Area,Ready To Move,CV Raman Nagar,1 BHK,Pu270a ,705,2.0,1.0,50.0,Bangalore East
Super built-up  Area,Ready To Move,Anandapura,2 BHK,LoLeoen,1200,2.0,1.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,,420,1.0,1.0,25.0,Bangalore South
Built-up  Area,Ready To Move,Malleshwaram,4 BHK,,2800,4.0,2.0,252.0,Bangalore South
Plot  Area,Ready To Move,R.T. Nagar,2 Bedroom,,1500,2.0,0.0,230.0,Bangalore North
Built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1287,3.0,1.0,55.0,Bangalore South
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1045,2.0,2.0,42.15,Bangalore South
Super built-up  Area,19-Jul,Hormavu,2 BHK,,1263,2.0,1.0,47.36,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SLiand ,1431,3.0,2.0,85.0,Bangalore East
Super built-up  Area,18-Apr,Marathahalli,4 BHK,Prionad,2524,5.0,2.0,180.0,Bangalore East
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1300,3.0,2.0,69.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,2095,3.0,2.0,150.0,Bangalore South
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,284,1.0,1.0,8.0,Bangalore North
Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,,1215,2.0,1.0,44.96,Bangalore South
Plot  Area,Ready To Move,Yelahanka New Town,2 Bedroom,,2200,2.0,0.0,180.0,Bangalore North
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1028,2.0,1.0,51.0,Bangalore South
